1 2 0
1 2 1
1 2 2
3 4 2
3 4 3
4 3 4
5 6 4
5 7 4
5 8 4
8 6 4
8 7 4
6 7 4
5 6 5
5 8 5
8 6 5
8 7 5
6 7 5
5 6 6
5 7 6
5 8 6
8 6 6
8 7 6
6 7 6
5 6 7
5 7 7
5 8 7
8 6 7
8 7 7
6 7 7
5 6 8
5 8 8
8 6 8
8 7 8
6 7 8
8 6 10
6 7 11
8 6 13
9 10 14
9 11 14
4 3 14
3 1 14
11 10 14
9 10 15
9 12 15
9 11 15
11 13 15
11 10 15
11 12 15
12 13 15
12 10 15
4 3 15
8 7 15
13 10 15
6 7 15
9 10 16
9 12 16
9 11 16
11 10 16
11 12 16
4 3 16
12 10 16
9 11 17
9 12 17
9 10 18
5 8 18
8 7 19
9 10 20
9 11 20
14 15 20
14 16 20
15 16 20
8 6 20
11 10 20
9 11 21
12 13 21
5 6 21
14 15 21
15 16 21
8 6 21
14 15 22
8 6 22
5 6 22
17 1 23
14 16 23
8 6 23
9 11 24
18 19 24
18 20 24
1 11 24
9 11 25
19 20 25
17 1 25
18 20 25
1 11 25
19 18 26
18 20 26
9 1 27
9 11 27
9 10 27
9 8 27
17 1 27
1 14 27
11 10 27
6 7 27
9 11 28
9 10 28
17 12 28
10 15 28
15 14 28
14 16 28
8 6 28
6 7 28
14 16 29
14 15 29
8 6 29
16 12 29
9 11 30
12 15 30
12 14 30
3 4 30
18 20 30
17 1 30
14 16 30
14 15 30
15 16 30
8 7 30
10 11 30
6 7 30
9 11 31
9 10 31
17 1 31
8 6 31
8 7 31
9 10 32
9 11 32
17 1 32
11 10 32
9 11 33
19 12 33
17 1 33
1 12 33
6 7 33
7 6 34
7 8 34
4 6 34
4 3 34
4 8 34
3 8 34
18 19 34
18 20 34
14 15 34
1 12 34
20 19 34
8 6 34
11 19 34
9 11 35
4 6 35
4 7 35
4 8 35
14 15 35
20 19 35
8 7 35
6 7 35
9 10 36
4 6 36
4 7 36
